Job Title,Company Name,Location,Date,Job Type,Seniority Level,Industry,No. of Applicants,Job Description
Senior R&D Software,Arrow Electronics,"Cairo, Cairo, Egypt",14:26.6,Full-time,Associate,IT Services and IT Consulting,2,"Position:

Senior R&D Software

Job Description:

We are looking for a software engineer to join a great team of software developers. This position involves working on a variety of aspects of software engineering, such as refactoring, code optimization, and the development of new algorithms and new features. You will be part of an agile team on all stages of software solution development from the concept.

Responsibilities include:

Implement POC for the new features.
Implement technologies upgrades and suggest solutions for the problems.
Develop prototypes & tools to deliver the best technology to the Development team.
Interact with the other teams to achieve product maintainability.
Meet with the other teams to apply the new solutions.

Skills:

Hands-on experience in Java 8 to the latest, Spring Boot, Angular, Apache Solr, Redis
Knowledge about the cloud migration techniques (on-premises to Cloud Platforms).
Extensive knowledge about designing RESTful services and integrating with other providers.
Hands-on experience in developing platforms using Microservices Architecture and the ecosystem with the cloud as backend.
Experience in Algorithms and data structure and applying design patterns.
Experience with Continuous Integration, Continuous Delivery, and Agile practices.
Databases experience using RDBMS like Oracle, MySQL as well as NoSQL databases like HBase.

Location:

EG-Cairo, Egypt (Al Emdad & Al Tamween)

Time Type:

Full time

Job Category:

Information Technology"
Software Development Engineer in Test,Pixelogic Media,"Cairo, Cairo, Egypt",14:27.5,Full-time,Mid-Senior level,Media Production,6,"Pixelogic Media Partners, LLC provides distribution services and technology solutions to the entertainment industry. We help studios, broadcasters and digital retailers localize and distribute their feature and episodic titles to global audiences on-time and with superior quality.

Our service offerings cover end-to-end workflows including language services such as scripting, subtitling, access services, dubbing, text and metadata localization in over 50 languages. Our technical services master and prepare this content in all distribution products including digital cinema, digital media and physical media (Ultra HD Blu-ray, Blu-ray and DVD).

To date, we serviced thousands of titles for iTunes, Google Play, YouTube, Netflix, Amazon, Movies Anywhere and others. We also authored thousands of Ultra HD Blu-ray, Blu-ray and DVD titles. Our research and development team works on cutting-edge technologies such as 4K, high dynamic range (Dolby Vision, HDR10+), artificial intelligence and machine learning, software automation and our proprietary end-to-end operating platform branded as pHelix.

Experience start-up at scale. Be part of building innovative solutions to service our media and entertainment clients and help us fulfill their content distribution needs. Join us if you’re passionate about entertainment, innovation and customer service excellence!

Primary Responsibilities:
Understanding the flow of code and how it interacts with different components.
Understanding project documents, customer demands, and product objectives to create and execute test cases.
Setting up, maintaining, and performing test automation frameworks on multiple application platforms, and building test scenarios and acceptance tests.
Creates & manages bug reports and communicate with the team.
Investigates customer problems referred by the technical support team.
Participates in a cross-functional team working in a highly dynamic agile environment.

Requirements
Computer Science degree or equivalent.
0-3 years of experience.
Demonstrated passion for testing, development, and design.
Demonstrated passion for learning new technologies.
Strong consistency and attention to detail.
Strong interpersonal skills with proven ability to collaborate.
Excellent written and verbal communication skills.
Solid foundation in computer science, with strong competencies in data structures, algorithms, and software design.
Strong knowledge in one or more of Java, C, C++, or C#.
Knowledge of HTML5, CSS3, and JavaScript is a plus.
Familiarity with one or more End-To-End Test frameworks: Selenium, Test Café, or Cypress.
Familiarity with one or more unit test frameworks: Junit, TestNG, Rspec, Jest, Chai, or mocha .

Benefits
Private Health Insurance
Social Insurance
Paid Time Off
Training & Development
Performance Bonus"
Senior Software Engineer,e-finance,"Giza, Al Jizah, Egypt",14:28.4,Full-time,Mid-Senior level,Financial Services,20,"Posted by
Nesma El Sabban 2nd
Talent Acquisition Team Lead | Technical Recruiter
Send InMail
Job Description:
· Analyze and understand software requirements, provide feedback, and translate the requirements into development tasks.
· Participates in System Architecture and/or Design activities.
· Creates and/or participates in creating Architecture and/or Design Documents
· Writing clean code, testable code, review and refactor code and analyzing data
· Produce Maintainable, Scalable code for high performance and secured applications.
· Conducts Unit Testing
· Conducts Code Reviews for Self and/or others
· Capable of troubleshooting and conducting root-cause analysis for issues and incidents.
· Resolves Incidents and Fixes Bugs in SW
· Capable of supporting legacy applications and code produced by others.
· Participates in SW Deployments and Supporting Deployment Issues in Collaboration with Other teams as needed.
· Capable of self-organizing and prioritizing tasks and duties
Qualifications:
· A Bachelor’s degree in Computer Science, Information Technology, Engineering or a related discipline.
· Maximum 3-6 years of experience in a similar field.
· Ability to work both independently and in a team-oriented, collaborative environment is essential.
· Demonstrated knowledge of multiple Agile frameworks and broad experience with Software Development Lifecycle (SDLC) for integrated systems.
· Strong understanding of Object-oriented principles and programming
· Understanding of fundamental design principles for building a scalable application
· Ensure the best possible performance, quality, and responsiveness of applications
· Understanding of design patterns and various architecture methodologies
· Solid front-end experience using Angular/React/VueJS tools. Bootstrap and responsive application design is a plus.
· Proven mobile development experience using cross-platform tools (Flutter or React).
· Knowledge of HTTP/S Protocols, REST and SOAP, Microservices, Continuous Integration and Deployment, Git, Unit Testing.
· Knowledge in software frameworks (SpringBoot, .net core, and Boilerplates).
· Knowledge in database queries and reporting tools.
· Knowledge in Domain-Driven Design."
Fixed Data Support Sr. Engineer,Vodafone,"Cairo, Cairo, Egypt",14:29.4,Full-time,,Telecommunications,38,"Description

Role purpose:
To ensure work flow accuracy of the Trouble tickets flow, severity , updates, SLA’s and personal interfering when necessary to maintain customers’ satisfaction, NPS and fast resolution.
To act as a first level of escalation for all local and international customer’s open issues and as SPOC for the SDSL NOC team in communication with other departments ( Ex: Technology, Business )
Key accountabilities and decision ownership

Operational Efficiency
To ensure work flow accuracy of the customers’ Trouble tickets (TT)
for better handling and smooth handover.
Monitor the NOC mail handling and make sure that the agreed SLA with the customers are achieved.
Act as the first level of escalation for more than 800 local customers with more than 10000 connections along with our International partners customers (British telecom , Zajil Telecom , China Telecom and Telecom Italia) with more than 200 million EGP annual revenues considering the best standards in the market.
Responsible for team activities and reports
Business Development
Analyze customer's feedback and develop new techniques to ensure customers’ satisfaction.
Look for ideas to Automate manual work process enhancement.
Identify any gap in the internal work flow and to handle weak points.
Team Technical Development
Assist the team members in technical troubleshooting steps to solve the problem with clear target.
Share experiences and support among the team members.
To identify team training needs and recommend the proper technical training modules.
Communication
Act as a first level of escalation for all customers’ issues
Attend meetings with customers to solve their technical issues.
To maintain a Product knowledge of a wide range of technologies among team members
Technical SPOC
Act as a SPOC with the technology teams.
Agree on support models for new designs/ technologies.
Job Responsibility

Key Performance Indicators
Operational efficiency leading to Green score cards for SR.
Follow Vodafone way.
Team’s technical background improvement
Core competencies, knowledge and experience
3 to 5 years’ experience in Telecommunications in an ISP company.
High Level of Interaction and communication with all Teams having impact on the fixed solutions.
Demonstrates a positive, enthusiastic, friendly attitude and have very good Leader ship skills
Customer Obsessed and Solve problems simply for better Customer Experience
Multi-tasking : The ability to handle many tasks at the same time efficiently(assigned tasks, escalation, …etc).
Must Have Technical / Professional Qualifications

 - Communications Engineering background or Computer science

Technical Certificates

 - CCNA (Cisco Certified Network Associate)

 - CCNP (Cisco Certified Network Professional)

 - Excellent Technical background on Data Networks.

 - Experience in handling all types of fixed data Solutions and different services ( VPN , Internet , Mail and hosting ) on different medias (copper, Fiber , Microwave , Prewimax and mobile solutions) solutions for better Customer Experience.

Skills

Dynamic Prioritisation and Multi Tasking

Forecasting

Influencing

Change and Adaptability

Coaching and Mentoring

Expert Communication

Drives Continuous Improvement"
Mean Stack Developer,Advansys ESC,"Cairo, Egypt",14:30.4,Full-time,Mid-Senior level,IT Services and IT Consulting,35,"Responsibilities
Hands on Experience and manage?Node js, Mongo DB, Angular js and Express js. • Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design.
Develop and manage well-functioning databases and applications.
Write effective APIs.
Test software to ensure responsiveness and efficiency.
Troubleshoot, debug and upgrade software.
Create security and data protection settings.
Build features and applications with a mobile responsive design.
Write technical documentation.
Work with data scientists and analysts to improve software

Requirements
Strong NodeJS Knowledge 2 to 3 years overall experience in Web Development.
Comfortability with Agile Scrum framework.
Experienced with JS, Angular ,TypeScript, HTML, SASS, and JQuery.
Solid understanding of Git workflow.
Experience working with REST APIs and familiarity with GraphQl.
Experience with container networking on Docker.
Experience working with NoSQL databases (e.g. MongoDB) and familiar with SQL databases"
Senior Software Engineer,QuickCheck,"Cairo, Egypt",14:31.4,Full-time,,,35,"Posted by
Oluwafemi Biobaku
People Operations Lead
About Seedstars Group
Seedstars is a global investment holding with headquarters in Switzerland, 15 offices and a presence in 80+ emerging markets. We are on a mission to impact people’s lives in emerging markets through technology and entrepreneurship. The group is organized around two key activities: 1) creating jobs and fueling economic growth by partnering with local entities; 2) investing in high growth technology companies in impactful sectors.

To learn more about Seedstars, tune-in to the newsroom.

About QuickCheck
QuickCheck is one of the first Seedstars’ investments, a fast-growing Fintech building the top credit-led neobank of Nigeria. 60 Million Nigerian adults are excluded from banking services, 100 Million do not have access to credit. QuickCheck leverages artificial intelligence to build an app-based product that has been downloaded by 2 Million people. It has processed over 4.5 Million micro-credit applications. A Dream Team of 100+ people hustles everyday between Nigeria and Portugal to make our crazy vision a reality - and won’t rest until our app is in the hands of millions!

About the job
QuickCheck is seeking to hire a 'hands-on' Senior Software Engineer to join our team in Cairo. The ideal candidate is a self-motivated, multi-tasker, and demonstrated team-player. You will be a lead developer responsible for the development of new software products which will change the way people perceive and use technology while enhancing existing products. You should excel in working with large-scale framework, applications using the most recent methodologies and technologies: React, React Native, Python, Django, and have outstanding communication and leadership skills.

Responsibilities for this role include
Writing clean, high-quality, high-performance, maintainable code
Develop and support software including applications, database integration, interfaces, and new functionality enhancements
Coordinate cross-functionally to ensure project meets business objectives and compliance standards
Support test and deployment of new products and features
Participate in code reviews

Your profile
Bachelor's degree in Computer Science (or related field)
5+ years of relevant work experience
Expertise in Object Oriented Design, Database Design, and XML Schema
Experience with Python, Django, and web development
Comfortable with SQL databases, Git and Linux is a plus
Knowledgeable about HTML/CSS/AJAX/etc. – Backend
Ability to multi-task, organize, and prioritize work
Benefits and perks
Be part of an international team
High degree of autonomy, flat hierarchy, open communication and get shit done attitude
Private health insurance schemes
Flexible working hours

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
Senior Software Engineer,QuickCheck,"Cairo, Egypt",14:39.2,Full-time,,,35,"Posted by
Oluwafemi Biobaku
People Operations Lead
Send InMail
About Seedstars Group
Seedstars is a global investment holding with headquarters in Switzerland, 15 offices and a presence in 80+ emerging markets. We are on a mission to impact people’s lives in emerging markets through technology and entrepreneurship. The group is organized around two key activities: 1) creating jobs and fueling economic growth by partnering with local entities; 2) investing in high growth technology companies in impactful sectors.

To learn more about Seedstars, tune-in to the newsroom.

About QuickCheck
QuickCheck is one of the first Seedstars’ investments, a fast-growing Fintech building the top credit-led neobank of Nigeria. 60 Million Nigerian adults are excluded from banking services, 100 Million do not have access to credit. QuickCheck leverages artificial intelligence to build an app-based product that has been downloaded by 2 Million people. It has processed over 4.5 Million micro-credit applications. A Dream Team of 100+ people hustles everyday between Nigeria and Portugal to make our crazy vision a reality - and won’t rest until our app is in the hands of millions!

About the job
QuickCheck is seeking to hire a 'hands-on' Senior Software Engineer to join our team in Cairo. The ideal candidate is a self-motivated, multi-tasker, and demonstrated team-player. You will be a lead developer responsible for the development of new software products which will change the way people perceive and use technology while enhancing existing products. You should excel in working with large-scale framework, applications using the most recent methodologies and technologies: React, React Native, Python, Django, and have outstanding communication and leadership skills.

Responsibilities for this role include
Writing clean, high-quality, high-performance, maintainable code
Develop and support software including applications, database integration, interfaces, and new functionality enhancements
Coordinate cross-functionally to ensure project meets business objectives and compliance standards
Support test and deployment of new products and features
Participate in code reviews

Your profile
Bachelor's degree in Computer Science (or related field)
5+ years of relevant work experience
Expertise in Object Oriented Design, Database Design, and XML Schema
Experience with Python, Django, and web development
Comfortable with SQL databases, Git and Linux is a plus
Knowledgeable about HTML/CSS/AJAX/etc. – Backend
Ability to multi-task, organize, and prioritize work
Benefits and perks
Be part of an international team
High degree of autonomy, flat hierarchy, open communication and get shit done attitude
Private health insurance schemes
Flexible working hours

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
ICSS O&G Application Engineer,Schneider Electric,"Cairo, Cairo, Egypt",14:40.1,Full-time,Entry level,"Appliances, Electrical, and Electronics Manufacturing",90,"What do we do at Schneider Electric?

We provide energy & automation digital solutions for efficiency and sustainability. we believe access to energy and digital is a basic human right. We empower all to make the most of their energy and resources, ensuring Life Is On everywhere, for everyone, at every moment.

We are committed to unleash the infinite possibilities of an open, global, innovative community that is passionate about our Meaningful Purpose, Inclusive and Empowered values

Why shall you join Schneider Electric?

We empower everyone to make the most of our energy and resources, ensuring Life Is On everywhere, for everyone, at every moment. Along the way, we create and provide equal opportunities for everyone, everywhere. We continuously create an inclusive environment and welcome people from all walks of life. We are empowered to do our best and innovate, while living our unique life and work. Together, we dare to disrupt and turn our bold ideas into reality.

About the role:

Improves his/her knowledge and skills of specific industry and its associated products. Assists in software development, HW documentation to meet requirements of the application specifications. Participates in the internal testing to the agreed procedures. Provide the application design for customer. May prepare complex and/or new solutions. Provide Technical expertise.

Duties and Responsibilities:
Ability to successfully pilot a project from beginning to end.
Competent to achieves program objectives through creating win-win solutions and fostering teamwork.
Ensures that project is adequately staffed, leverages internal resources for assistance, develops contingency plans and removes program obstacles.
Ability to identify issues and risks, analyze and understand underlying causes, and devise appropriate action plans
Ability to perform service operations & ensure quality and performance of equipment to customer
Ability to qualify the performance and reliability of a customer site/system/network
Ability to process, analyze and react to various types of customer data to provide recommendations for the improvement of customer operations and savings.
Effectively utilizes process improvement techniques by recommending effective and proven solutions to improve customer processes.
Ability to understand environmental requirements, customer specifications, government regulatory, industry standards and their impact on our business model.
Adapts standard product configurations to meet customer application and to provide technical support for specific projects to resolve issues.
Use Schneider Electric offer in terms of characteristics, features, advantages and general applications, to position it against competitive offers, in order to best answer customer needs.)
Perfoms Project Software application, HW design documentation, HMI interfaces
Participates in customer acceptance, FTA/SAT

Qualifications

Qualifications - External
Bachelor’s degree in Electrical Power/ Mechatronics or Communications
1 to 4 years of experience in the automation field (past experience in DCS-FOXBORO, SCADA or Safety PLCs)
Fluency in English language is mandatory.
Understanding of complex system and interdependencies of equipment from different area of expertise.
Strong knowledge of customer process with ability to identify and propose nonobvious process improvement.
Ability to write & modify procedures to fit customer needs & process.
Understands the operation and application of devices and systems based on data provided by manufacturers.
Able to develop and manage a complete process improvement plan.
Proactively communicates codes and standards across the organization
Knowledge and understanding of key market segments and customer application needed and ability to convert them into functional and technical.

Schedule: Full-time

Req: 007PTQ"
ETIC - AWS Developer - Senior Associate - (Cairo),PwC Middle East,"Cairo, Cairo, Egypt",14:41.0,Full-time,Associate,Business Consulting and Services,4,"Line of Service

Advisory

Industry/Sector

Technology

Specialism

Advisory - Other

Management Level

Senior Associate

Job Description & Summary

A career within General Consulting services, will provide you with the opportunity to help clients seize essential advantages by working alongside business leaders to solve their toughest problems and capture their greatest opportunities. We work with some of the world’s largest and most complex companies to understand their unique business issues and opportunities in an ever changing environment. We help create sustainable change by stimulating innovation, unlocking data possibilities, navigating risk and regulatory complexity, optimising deals, and aligning costs with business strategy to create a competitive advantage.

About The Role

PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit an AWS Developer to join our team in Cairo. The successful candidate will have a minimum of 3 years experience. They will be developing a reputation within the local Engineering market, having worked on 4+ AWS projects, with at least 12 months experience across 2 of the projects. They will have a growing professional network, and have alliances into the Engineering ecosystem.

You will report to the Cloud Service Delivery Director and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.

As an AWS Developer, you will play a key role in the following areas:
Support the leadership and management of the new Cloud Practice by taking an active role in the Cloud Senior Leadership Team
Responsibility for coaching and developing more junior team members in the Development & Software engineering domain
Delivering exceptional client service and solutions
Work with a global mindset with teams based in the UK, Germany and other Middle Eastern Countries
Leading delivery teams to deliver solutions that are on scope, time, quality and budget
Role Requirements
Ability to perform in a lead developer role, organising, mentoring and providing quality assurance on deliverables
Participate in design activities with client and lead design and process discussions
Detailing of the technical specifications required to deliver the functional requirements of the solution
Ability to provide estimation of effort for technical developments
Ability to manage stream deliverables
Responsible for issue resolution post go-live and transition to support
Essential Skills & Attributes
3-5 certifications in relevant AWS Development disciplines or technologies
Excellent oral and written communication skills as well as basic presentation skills
Ability to work within a fast-paced & unstructured environment. Must be able to multi-task and effectively and continually prioritise
Excellent time management, communication and organizational skills
Ability to interact efficiently with senior members of the firm across multiple time zones
Education
University Degree
Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Optional Skills

Required Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

Yes

Government Clearance Required?

No

Job Posting End Date"
Support Engineer - AKS,Microsoft,"Cairo, Cairo, Egypt",14:41.9,Full-time,,Software Development,21,"Microsoft is currently undergoing a massive growth in CE&S organization and we will increase our teams within all Azure technologies. The below mentioned requirements are split per technology groups, therefore if you identify yourself with one of the categories, we would like to meet you!
Please note that there are available multiple vacancies based in numerous locations.
Overview

Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission.

The successful candidate should demonstrate great accountability, customer obsession and technical leadership. Beyond troubleshooting complex technical problems and managing critical situations, the candidate should be passionate of driving bigger impact: managing customer relationships, increasing customer value and their experience with our products and services.

Responsibilities

Your Responsibilities
Responsible for the customer support experience with Microsoft
Own, troubleshoot and solve customer technical issues, using collaboration, troubleshooting best practices and transparency within and across teams (e.g. swarming)
Identify cases that require escalation (either technically or strategically)
Create and maintain incident management requests to product group/engineering group
Contribute to case deflection initiatives, automation and other digital self-help assets to improve customer/ engineer experience
Provide ramp activities, knowledge sharing, technical coaching and mentoring
Drive technical collaboration & engagement outside of CSS (Product Engineering teams/Services/Support/Regions)
Lead or participate in building communities with peer delivery roles; may be workload or specialty specific
Qualifications

Language Qualification

English Language: confident in reading, writing and speaking.

German or French highly appreciated

Required
Knowledge in Linux / OSS Administration
Knowledge of container technology and fluency in Kubernetes
Linux / OSS

Good To Have
Familiarity with one, or more, shell environments (BASH, sh, tcsh, ksh, etc.)
Experience with Linux script-based development environments and tools (PERL, Python, Ruby, PhP, etc.)
Experience in Core Linux administration (boot process, file systems, network device and protocol configuration)
Familiarity of Docker/Container/AKS
Expertise in managing cluster environment (SUSE, RedHat, Veritas)
Familiarity with core OS services such as: SSH, telnet, FTP, NFS, DNS, DHCP, Samba, LDAP
Experience in one or more of these areas desirable

Operating System/Virtualization
Knowledge of LDAP, Security and OS Internals concepts
Understanding of Virtualization concepts and virtual system administration (Hyper-V, VMWare, Xen configuration and administration)
Ability to meet Microsoft, customer and / or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire / transfer and every two years thereafter.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Technical Content Developer 4 (I8),Dell Technologies,"Cairo, Cairo, Egypt",14:42.9,Full-time,,IT Services and IT Consulting,34,"Functional Job Title: Technical Content Senior Architect (EDGE)

Ground-breaking products deserve to be accompanied by world-class technical information. Dell Technologies customers expect nothing less. That’s where our Technical Content Development team comes in. Working side-by-side with editors and illustrators, subject matter experts and stakeholders, the team creates clear, concise and easy-to-understand content for multiple channels. It takes an ability to research, analyze and synthesize complex subject matter. And it’s all underpinned by an understanding of how our technologies work and how they benefit customers.

Join us to do the best work of your career and make a profound social impact as an EDGE Content Architect on our Enablement team in Bangalore, India.

As a Technical Content Developer (EDGE), you will be responsible for the development, creation, and support of services content following established quality standards. You will work with Enablement Technical Content Developers (Technical Writers), Project Managers, and Global Service Architects.

Primary Responsibilities:
Work closely with Global Service Architects to engineering content while adhering to established architecture and quality standards through the EDGE content system as well as future content systems.
Using standard tools including Chrome and EDGE Browsers, Microsoft Word, Excel, and Xmetal create and manage content objects within the content system supporting all service and offer types.
Work with key stakeholders to troubleshoot content challenges and apply fixes or enhancements to the content while keeping stakeholders and technical teams informed of any changes.
Support content transformation from existing content systems to future defined content systems.

Essential Requirements
Candidate should possess the ability to think logically and apply this to content engineering and troubleshooting activities throughout the life cycle of the content.
Understanding of programming logic and excel based complex formulas to assist in driving adherence to architecture standards.
Understanding of Content Management basics.
Candidate needs to be able to communicate effectively in a multi-national team working together throughout the content lifecycle.
Have a basic understanding of markup languages, like HTML.

Desirable Requirements
Understanding of XML and Dita markup languages and standards, or other structured markup.
Understanding of data schema, taxonomy, and technical vocabularies.
Understanding of Enterprise data storage, protection, and networks is a plus.

Here’s our story; now tell us yours

Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We’re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.

What’s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life -- while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.

We started with computers, but we didn’t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what’s next in technology, starting today.

You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here.

Application closing date: 15- April-2022

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Equal Employment Opportunity Policy here.

Job Id: R170530Job Function: Engineering Services"
"Full Stack Engineer (Data Team) (All Levels) (Bangkok based, relocation provided)",Agoda,"Giza, Al Jizah, Egypt",14:43.9,Full-time,Mid-Senior level,Internet Publishing,16,"About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

In this role, you will be involved in the design, architecture, coding, testing and operations of our global-scale software systems to support the innovation and technical excellence that the rapidly changing field of online travel requires.

In This Role, You’ll Get to

Design, develop and operate the solutions used by millions of people every day
Big Data and Machine Learning processing pipelines
Data Driven changes to the application
Constantly look for ways to improve our products, code-base and development practices
Write great code and help others write great code

What You’ll Need To Succeed

Bachelor’s degree in Computer Science/Information Systems/Engineering/related field or relevant experience
Strong coding ability with more than 2 years experience
Experience or willingness to learn JavaScript/Scala/Spark/Kafka and related technologies (if not already known)
Able to quickly and effectively read code
Good understanding of algorithms and data structures
Ability to separate hype from reality

It’s Great If You Have

Any experience with ‘Big Data’ technologies / tools
Any experience with JavaScript client and Server-side technologies is a plus
Strong experience in JVM languages (Java / Scala in particular)
Experience working with Lambda Architectures
Experience working with open source products
Working in an agile environment using test driven methodologies
Experience using Git

A few of the technologies we use:

React, Scala, Play, Spark, Kafka, Couchbase, Hadoop, Impala, Elasticsearch, Kibana, Grafana, MSSQL

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #tokyo #osaka #kualalumpur #malta #amsterdam #oslo #manila #warsaw #krakow #bucharest #doha #alrayyan #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #singapore #capetown #johannesburg #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #IT #ENG #IT #4

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
Odoo Developer,ExtraMile—EGY,"Cairo, Egypt",14:44.8,Full-time,,,9,"Posted by
Mohamed Al Baddaly 2nd
Managing Director of ExtraMile Business Solutions
We are hiring odoo developer based in cairo

Job description:

* Bachelor degree preferably in Computer Science, Information Systems, or Engineering, but any other field is welcomed, specially if supported with good experience.
* Minimum of 3 year of experience in Odoo development, or 2-3 years in Python.
*Superior knowledge of relational database concepts, SQL and ORM.
Good knowledge of non-relational database concepts (MongoDB and Cassandra).
*Excellent knowledge of web development languages (HTML, CSS, JavaScript, JQuery).
*Good knowledge of Linux and Ubuntu.
*Good knowledge of API integration
*Good knowledge of SVN and Git.
*Knowledge of Python development frameworks (Django and Flask).
*Knowledge of frontend development languages is a great plus (AngularJS or Meteor).
*Ability to learn fast and execute accordingly.
*Outstanding communication and interpersonal abilities
*Patience and professionalism
*Reliability and discretion: you will often learn of confidential matters
Communication, negotiation and *relationship-building skills
*Excellent time management skills and the ability to prioritize work
*Attention to detail and problem solving skills
*Excellent written and verbal communication skills
*Strong organizational skills with the ability to multi-task

If you are interested, please send your cv to:

recruitment@extramile-egy.com
#hiring #job #work
#recruitment # #developer #development #python"
