Job Title,Company Name,Location,Full-time / Part-time,Sector or Industry,Number of Applicants,Job Description
Recruiter,Novartis,"Cairo, Cairo, Egypt",Full-time,null,Over 200 applicants,"About the job
Job Description

766 million. That is an incredible number and represents the number of patients Novartis reached in 2021. That is a truly breathtaking number of moments that have mattered to the lives of our patients and represents the impact our organisation continues to make.

As a Senior Recruiter within Novartis you feed into that impact.

As a member of Global Talent Acquisition organization, you will be managing end to end recruitment and talent sourcing for positions based in Egypt.

You will act as Novartis brand ambassador to the external market by responsibly looking after candidates, vendors, and external associates while showcasing Novartis Values and Behaviors to the core.

Your responsibilities include, but are not limited to:













PHARMA



AMAC



Egypt



Cairo



NOV PHARMA EGY



Human Resources



Full Time



Regular



No



No"
Facial Expressions Video Collection for Arabic Speakers in Egypt,Appen,"Belbes, Sharkia, Egypt",Part-time · Associate,null,38 applicants,"About the job
Are you ready to have a bit of fun and make faces at the camera and say some random phrases? Then this project is for you! If you have a phone and enjoy having a bit of fun take a look and give this a go.
We are working with a leading technology provider to help improve facial expressions on smartphone devices and your actions could pave the way forward with new advances. How cool does that sound?"
Search Evaluator for Arabic Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,72 applicants,"About the job
Would you like to annotate photos to help improve the product and services of the world's largest search engines? This is the project for you!
Requirements:
· Gmail and Google Photos services access"
Data Collection Project for English Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,27 applicants,"About the job
Are you using social media? Are you interested in helping a project to improve relevance content to users? This project is for you!
Perks:
· Long term project commitment
· Flexible hours (15-20/ week)"
ECEMEA Senior Recruiter/Talent Advisor (220003QJ) ECEMEA Senior Recruiter/Talent Advisor,Oracle,"Cairo, Egypt",Full-time · Entry level,null,149 applicants,"About the job
RESPONSIBILITIES:
Working with the business to understand their requirements, be first point of contact for hiring managers within assigned Lines of Business
Partner with hiring managers to develop long-term business relationships and become a key member of their support team."
Data Collection Project for English Speakers in Egypt,Appen,"Alexandria, Egypt",Part-time · Associate,null,46 applicants,"About the job
For this project, using your Smartphone’s camera and our Appen Data Annotation Platform (ADAP), we would like you to take pictures and videos of specific common household objects. There are 108 specific objects that we are looking for.
For each object you select, you will be asked to take one picture and 10 videos, each being 10 seconds long, of that object, under specific recording conditions."
Data Collection Project for Standard Arabic (United Arab Emirates) Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,44 applicants,"About the job
Are you ready to help drive advances in computer vision applications for a major technology company? If you have a smartphone and enjoy taking photos, then this project is perfect for you.
It will take no more than 30 minutes to complete the whole task.
Benefits:"
Search Evaluator for Egyptian Arabic Speakers in Egypt,Appen,"Banha, Al Qalyubiyah, Egypt",Part-time · Associate,null,135 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Academy Manager,Elsa Academy,"6th of October, Al Jizah, Egypt",Part-time,null,12 applicants,"About the job
The Successful Candidate Must Demonstrate
Master's degree in education administration / University degree in Language Arts, Education, or a related discipline
Minimum of five years’ experience in teaching or education leadership·
Proficiency in written and spoken English and Arabic
Strong leadership experience and effective leadership skills to include coaching and mentoring to support employees in achieving goals.
Effective and collaborative communication with staff and leadership, with effective written and oral communication techniques to convey clear and timely messages.
Ability to assess and respond to customer needs, making customer service a high priority and striving to anticipate, identify, understand, and be responsive to customer needs and expectations.
Critical, creative, and reflective thinking to analyze problems and evaluate ideas and information to develop action plans.
Strong organizational skills including prioritization and accuracy, adapting approaches, goals, and methods to achieve solutions and results in dynamic situations.
Excellent time management, problem-solving techniques and use of professional judgment in complex and sensitive situations.
Proficient computer skills, including Microsoft Office
Ability to multitask and re-prioritize assignments while maintaining attention to detail.
Commitment to the highest ethical standards and to act with professionalism and integrity.

Location: 6th October City

Working hours:
Saturday 12 p.m. to 6 p.m.
Sunday to Thursday from 3 p.m. to 8 p.m.

To apply: send your c.v. to elsaacademy@hotmail.com with the subject: Academy Manager"
Customer service French & German Speakers,null,Egypt,Full-time,null,5 applicants,"About the job
A Multinational company is hiring for customer service agent Fluent in French German with a very good English
Job Description
- Handling incoming inquiries from French / German customers via the phone, email, and online."
Data Collection Project for Standard Arabic (Saudi Arabia) Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,38 applicants,"About the job
Are you ready to help drive advances in computer vision applications for a major technology company? If you have a smartphone and enjoy taking photos, then this project is perfect for you.
It will take no more than 30 minutes to complete the whole task.
Benefits:"
Explore new opportunities at Appen! Apply now!,Appen,"Alexandria, Alexandria, Egypt",Part-time · Entry level,null,Over 200 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Social Media Evaluator for Arabic Speakers in Egypt,Appen,"Banha, Al Qalyubiyah, Egypt",Part-time · Associate,null,Over 200 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
360 Data Management Specialist,Mercedes-Benz Egypt,"New Cairo, Cairo, Egypt",Full-time · Entry level,null,Over 200 applicants,"About the job
Are you looking for a new challenge ?
Do you enjoy working in a multi-cultural environment?
Mercedes-Benz Egypt can offer you this opportunity within an innovative market in the role of 360 Data Management Specialist."
Social Media Evaluation for English Speakers in Egypt,Appen,"Alexandria, Egypt",Part-time · Associate,null,111 applicants,"About the job
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience.
Mystery Shoppers will be completing and reviewing the shopping experience of e-commerce advertisers on a well-known social media platform."
Data Analyst for Standard Arabic Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,112 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Social Media Evaluation for English Speakers in Egypt,Appen,"Belbes, Sharkia, Egypt",Part-time · Associate,null,48 applicants,"About the job
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience.
Mystery Shoppers will be completing and reviewing the shopping experience of e-commerce advertisers on a well-known social media platform."
IT Audit- Senior Associate/Manager- Egypt,PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Associate,null,26 applicants,"About the job
Line of Service

Industry/Sector

Specialism



Senior Associate



A career in our Information Technology Audit Services practice, within Risk and Compliance services, will provide you the opportunity to work with a team that provides clients with extensive risk and controls technical knowledge and sector specific experience. You’ll have the opportunity to develop a holistic approach to risk that protects businesses, facilitates strategic decision making and enhances efficiency by assisting management in the assessment of project risks and controls.

Our team uses current and emerging technologies to assist clients with financial reporting, compliance, and operational processes controls. You’ll provide services related to controls around the financial reporting, compliance and operational processes, including business process and Information Technology management controls.

To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.



PwC Professional skills and responsibilities for this management level include but are not limited to

As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution.





Degrees/Field of Study preferred:











Not Specified



Yes



Yes"
Desktop Support Technician,Excis Compliance,"New Cairo, Cairo, Egypt",Full-time · Mid-Senior level,null,76 applicants,"About the job
Three to four (3-4) years experience providing IT Infrastructure field support in a corporate environment which includes troubleshooting hardware, software, operating system issues, and problems and fixing the issues without impacting/violating the hardware warranty or customer security compliance requirements.
One to two years experience working in a service desk environment with the ability to receive calls / troubleshoot and log user queries.
Hands-on experience in installing, troubleshooting, and fixing desktops, printers, laptops, and other computer peripherals hardware problems as well as desktop applications.
Experience in Dell/HP Desktops/Laptops
Basic knowledge of enterprise LAN and WAN setups and concepts. Ability to perform smart hand activity under instruction-based activities at sites.
Ability to lift/move the computer and network equipment.
Skilled in desk side support and PC break/fix including administration of Windows 10 O/S
Some usage Knowledge of TCP/IP networking, DNS, DHCP, VPN, and RDP.
Ability to troubleshoot issues with systems and networks using good deductive reasoning skills and troubleshooting & resolving issues related to end-user network cabling.
Ability to work alone and also work well with various remote global teams
Good written and oral communications skills with clients and management as well as people skills.
Ability to work with deadlines and complete tasks on time.
Flexibility with working hours and ability to travel between sites
Knowledge and experience of ticketing tools (ServiceNow / Remedy etc.),

Non-Technical
• Good Customer management skills,
• Good in oral and written communication
• Able to interact and work with the customer at different levels.
• Self- Driven and result-oriented.
• Really passionate about the work
• Arabian and English fluent language is required"
Video Data Collection for English speakers in Egypt,Appen,"El Faiyum, Al Fayyum, Egypt",Part-time · Associate,null,27 applicants,"About the job
Participate in a project that aims to make Artificial Intelligence work for everyone. Representation from all complexion types is required for this project so a qualifying skin tone question is asked to ensure that all groups are captured.
This study will require you to receive a package to your home address which contains a kit of toy letters and shapes and shoot 250 short videos of 10-45 seconds each that show case everyday objects you find in your home. Your videos will be scripted so if you can follow instructions and have a phone you are perfect for this project."
Internet Analyst Remote Opportunity | for English Speakers in Egypt,Appen,"Kafr El Sheikh, Kafr ash Shaykh, Egypt",Part-time · Associate,null,82 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Social Media Evaluation for English speakers in Egypt,Appen,"Alexandria, Egypt",Part-time · Associate,null,85 applicants,"About the job
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience. Join us now!
Requirements:
· Should have some disposable income to make purchases upfront."
Facial Expressions Video Collection for Arabic Speakers in Egypt,Appen,"El Faiyum, Al Fayyum, Egypt",Part-time · Associate,null,30 applicants,"About the job
Are you ready to have a bit of fun and make faces at the camera and say some random phrases? Then this project is for you! If you have a phone and enjoy having a bit of fun take a look and give this a go.
We are working with a leading technology provider to help improve facial expressions on smartphone devices and your actions could pave the way forward with new advances. How cool does that sound?"
Egypt Architect Java Developer,CI&T,Egypt,Full-time · Mid-Senior level,null,17 applicants,"About the job
CI&T is a digital specialist, partner in end-to-end digital transformation. As digital natives, we bring a 26-year track record of accelerating business impact through complete and scalable digital solutions. With a global presence of more than 5.000 professionals in strategy, research, data science, design and engineering, we unlock top-line growth, improve customer experience and drive operational efficiency.





Abstraction on Java (abstract classes, interfaces, default methods) and how to use it







This position may be fulfilled by a CI&T partner.

#Senior



We know that innovation and transformation only happen in diverse and safe work environments, where people from different backgrounds and experiences come together to share and create ideas. We are building teams that are increasingly diverse in terms of disabilities, age, gender identity and sexual orientation, ethnicity and race, religion, cultures and experiences. Therefore, our opportunities are for EVERYONE!

To promote inclusion, we believe it is important to break down physical and behavioral barriers. So, if you are a person with a disability, tell us from the beginning if you need any accessibility resource for the selection process."
Creators Community Manager - Egypt | Remote,Canva,Egypt,Contract · Associate,null,63 applicants,"About the job
Canva’s Commitment and Mission

At Canva, we celebrate diversity. We deeply believe that bringing together diversity of thoughts, perspectives and expression is key to building the best product, team and company. We mean it when we say we want to create a diverse and inclusive workplace where we value all different types of experiences and want to create a space and culture where you feel like you belong.

We know it can be a tricky time applying for roles, wondering if the role is right for you and if you and your experience are right for the role too. Many people won’t apply for roles unless they feel that they tick every single box. At Canva we look for many different skills and abilities and we’re always looking for how new team members can add to Canva and our culture. So if you don’t think you quite meet all of the skills listed, we’d still love to hear from you!

Our mission at Canva is to empower the world to design and since launching in 2013, we have grown exponentially, amassing over 80 million monthly active users across 190 different countries and a team of over 2,800 people… and the best bit is that we’ve only achieved 1% of what we know we’re capable of.



We’re driven by our values, with our ‘Be a Force for Good’ value supporting everything that we do. Through your work on our product or team, and our community initiatives and sustainability programs, you’re given the opportunity to come to Canva and make a tangible difference to the lives of others in your day-to-day life. In addition to our Founder’s 30% Pledge, Canva is committed to Pledge 1% and actively encourage our team to participate in many ways, including taking paid volunteer leave.

Your journey with Canva could take you to places that you might not even imagined yet. There’s opportunity around every corner and the support to help you achieve your goals.Join us and design your future.




Within the Creators Growth Team, you will be a part of Canva’s newest communities: Canva Creators in Egypt/Saudi Arabia.

We are entering an exciting new phase for our Canva Marketplace, specifically template and element creation where we will enable local designers, educators/teachers and NFPs to publish their own templates and elements for the Canva community to use.



You are mission-driven and a natural leader with a track record of engaging audiences both online and offline. You have a great ability to “read the room,” and can excite and unite a community around new ideas. You get things done with positive energy and a can-do attitude.

Comfortable navigating and managing social media tools, especially virtual event platforms, you have the creative vision to bring the community to life through online engagement, innovative activations and events. Being comfortable with publishing your events through video post is critical in this role. You are driven and passionate about community, user engagement, and providing people with a positive and exciting community experience. Every big idea starts somewhere—you can break down your concepts into milestone moments and match it with measurable KPIs.

Last but not least, you are resourceful and comfortable with taking the initiative to surprise and delight our design community. You are fluent in written and spoken Arabic and English.




One of our core values at Canva, “Being a force for good” means we are actively working towards a world that isn't just good for a small few, but one that’s good for everyone. We believe deeply that bringing together diversity of thoughts, perspectives and expression is key for building the best product for our equally diverse community. To achieve this, we need to constantly work towards making Canva the best place to work, for everyone.



Our culture is unlike anywhere else and together we design your #CanvaLife experience to empower you to do the best work of your life.

Whether you’re in the office, working from home or choosing your own adventure, we recognise that every single person is unique and our Canvanaut benefits aim to ensure we cater for all."
Compensation and Benefits SR analyst,null,"Cairo, Egypt",Full-time,null,18 applicants,"About the job
Evaluating and modifying existing compensation and benefits programs, policies, and procedures.
Developing and implementing new/revised compensation and benefits programs, policies, and procedures.
Ensuring all programs, policies, and procedures comply with current legislation."
Selfie Video Data Collection for Arabic Speakers in Egypt,Appen,"El Faiyum, Al Fayyum, Egypt",Part-time · Associate,null,28 applicants,"About the job
Help improve AI technology for video recognition! Capture short selfie videos on your portable device with different accessories and lighting/environment. Join us now!
Requirements:
· Able to access web-based tool via Android or iOS portable devices (no desktops allowed)"
"ETIC, Salesforce Developer - Associate (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Associate,null,5 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Associate





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit a Salesforce Developer to join our team in Cairo. The successful candidate will have between 1 and 3 years experience in delivering complex Salesforce solutions. Candidates may also be recent University Graduates in a relevant discipline such as Computer Science or Cloud technologies.

You will work in the team that reports to the Salesforce delivery service leadership team and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.












Degrees/Field of Study preferred:











Not Specified



Yes



No"
Video Data Collection for Arabic speakers in Egypt,Appen,"El Faiyum, Al Fayyum, Egypt",Part-time · Associate,null,38 applicants,"About the job
Participate in a project that aims to make Artificial Intelligence work for everyone. Representation from all complexion types is required for this project so a qualifying skin tone question is asked to ensure that all groups are captured.
This study will require you to receive a package to your home address which contains a kit of toy letters and shapes and shoot 250 short videos of 10-45 seconds each that show case everyday objects you find in your home. Your videos will be scripted so if you can follow instructions and have a phone you are perfect for this project."
Video Data Collection for English speakers in Egypt,Appen,"Giza, Al Jizah, Egypt",Part-time · Associate,null,29 applicants,"About the job
Participate in a project that aims to make Artificial Intelligence work for everyone. Representation from all complexion types is required for this project so a qualifying skin tone question is asked to ensure that all groups are captured.
This study will require you to receive a package to your home address which contains a kit of toy letters and shapes and shoot 250 short videos of 10-45 seconds each that show case everyday objects you find in your home. Your videos will be scripted so if you can follow instructions and have a phone you are perfect for this project."
Internet Analyst Remote Opportunity | for Arabic Speakers in Egypt,Appen,"Alexandria, Egypt",Part-time · Associate,null,180 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
HR Service Delivery Advisor,Astellas Pharma,"Cairo, Cairo, Egypt",Full-time · Associate,null,Over 200 applicants,"About the job
HR Service Delivery Advisor

About Astellas:

At Astellas, experience is coupled energised with a relentless challenger spirit We are unusual in our ability to combine the experience, expertise and resources of an established company with the agility, flexibility and tenacity of a start-up. Relentless curiosity and a hunger for discovery flows throughout our entire organisation. We harness the latest technology and insights from big data with our research expertise to create powerful solutions that could transform the way doctors and nurses treat and care for their patients. We are accelerating product development, driving operational efficiencies and gaining a better understanding of the needs of patients and their healthcare providers. We partner and collaborate with academic research institutes and biotechnology companies who share our passion for bringing breakthrough discoveries to patients."
Production Manager,null,"Az Zaqāzīq, Sharkia, Egypt",Full-time,null,21 applicants,"About the job
Must have at least 5 years experience as a Production Manager in textile factory with fluent English and computer skills"
Citiservice Head,Citi,"Cairo, Cairo, Egypt",Full-time,null,27 applicants,"About the job
Job Id: 22452079

Our people make all the difference in our success.

--------------------------------------------------------------

The Client Experience Head manages multiple teams. In-depth understanding of how own sub-function contributes to achieving the objectives of the function. A good understanding of the industry, direct competitors' products and services, is also necessary in order to contribute to the commercial objectives of the business. Requires thorough understanding of strategic direction of the function within the relevant part of the business, combined with a solid conceptual/practical grounding in both the function and/or area of expertise and related subject areas. Excellent communication skills required in order to negotiate internally, often at a senior level. Some external communication/negotiation may be necessary. Responsible for executing functional strategy in area managed. Determines approach to implementing functional strategy. Accountable for end results, budgeting, planning, policy formulation and contribution to future strategy of the area(s). Impact reflects size of team managed, strategic influence on the business and interaction with other functions or businesses.



10+ years relevant experience

People Management, Leadership, Identifying and building Service and Operations Centres of excellence which leverage best practices and disciplines from across the globe.



Superior communication and relationship building skills.

Exemplifies Core Competencies: analysis, communication, customer focus, teamwork, process management, functional proficiency, and managing change. Perfect command of the English language.







Ability to manage multiple tasks simultaneously / Effectiveness under pressure / stress & time management / Client Focus / Proactive / initiative / Ability to manage and organise a diverse set of individuals.

This job description provides a high-level review of the types of work performed. Other job-related duties

may be assigned as required.

-------------------------------------------------



Operations - Transaction Services

-------------------------------------------------



Cash Management

------------------------------------------------------



Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .

View the """" poster. View the .

View the .

View the"
Internet Analyst Remote Opportunity | for Egyptian Arabic Speakers in Egypt,Appen,"Alexandria, Egypt",Part-time · Entry level,null,Over 200 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Internet Analyst Remote Opportunity | for English Speakers in Egypt,Appen,"Giza, Al Jizah, Egypt",Part-time · Associate,null,143 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Selfie Video Data Collection for Arabic Speakers in Egypt,Appen,"Alexandria, Egypt",Part-time · Associate,null,43 applicants,"About the job
Help improve AI technology for video recognition! Capture short selfie videos on your portable device with different accessories and lighting/environment. Join us now!
Requirements:
· Able to access web-based tool via Android or iOS portable devices (no desktops allowed)"
Internet Analyst Remote Opportunity | for Egyptian Arabic Speakers in Egypt,Appen,"Kafr El Sheikh, Kafr ash Shaykh, Egypt",Part-time · Associate,null,100 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
"Assistant Manager, People Relation (Experience)",noon,"10th of Ramadan, Sharkia, Egypt",Full-time · Mid-Senior level,null,Over 200 applicants,"About the job
About noon

noon.com is a technology leader with a simple mission: to be the best place to buy and sell things. In doing this we hope to accelerate the digital economy of the Middle East, empowering regional talent and businesses to meet the full range of consumers' online needs."
Social Media Evaluation for English speakers in Egypt,Appen,"Giza, Al Jizah, Egypt",Part-time · Associate,null,106 applicants,"About the job
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience. Join us now!
Requirements:
· Should have some disposable income to make purchases upfront."
LMT Trader,Citi,"Giza, Al Jizah, Egypt",Full-time · Mid-Senior level,null,102 applicants,"About the job
Manage Funding & Liquidity needs of Egypt
Manage balance sheet in conjunction with ALCO, CCO and Regional guidelines
Key/Primary Responsibilities:
Work in coordination with Country Treasurer to ensure that the respective franchises are within the respective statutory liquidity requirements, on a daily basis."
HR Manager - NA,Beiersdorf,"Cairo, Cairo, Egypt",Full-time · Director,null,46 applicants,"About the job
Job Purpose

Business Partnering for North Africa on all people topics and implementation of agreed HR plans. As an HR functional vertical owner of Performance & Potential Management & Employee Engagement, Recruitment, HR Systems develop and implement projects and initiatives also in collaboration with other HR colleagues.





Cairo, Egypt



This position reports to the Country Director North Africa and dotted line to the HR Director Africa Middle East



North Africa including Morocco

_MS2"
Solutions Architect,Authority Partners,Egypt,Full-time · Mid-Senior level,null,21 applicants,"About the job
Description:
Authority Partners is seeking for the Lead Solution Architect to join our global team. As the Lead Solution Architect you will work on development and integration of large-scale solutions involving multiple technologies, functions, and interfaces across in-house and vendor-supplied systems. Successful candidates should enjoy working in a fast-moving environment, communicating with stakeholders from various areas and solving complex problems."
