Job title,Company name,Location,Remote/on site,Date,Applicants,Full/Part time,Sector,Seniority level,JobDescription,Links
Marketing Executive,Start Point,"El Sheikh Zaid, Al Jizah, Egypt",On-site,2022-03-21,72 applicants,Full-time,Null,Null,"
Start Point Corp, is looking for a talented Marketing executive to formulate and implement the marketing strategy for the company’s a assortment of high end brands. 
The job entails but is not limited to the following:conduct market research, for example using customer questionnaires and focus groups Conducting customer, competitor, and product researchDevelop and implement a marketing strategy Plan, develop and implement our SEO strategyCommunicate with target audiences and build and develop customer relationshipsSeek advertising opportunities Assist in execution a variety of marketing initiatives that drive brand awareness, trial and distribution, including the day-to-day execution across campaigns, promotions, advertising, direct marketing and sales supportWork closely with creative team of freelancers to design marketing materials such as brochures and advertsRun social media channelsProduce creative content, including videos and blog postsWrite and proofread marketing copy for both online and print campaignsWork with fellow company leaders to determine long and short-term goals and key metrics.Coordinate with designers, print houses and organize photo shootsPropose new and improved inbound marketing campaign ideas
Please apply only if you meet the following requirements:Bachelor’s degree holder major ( Marketing / BA ) From Reputable University.4 to 8 years’ experience in marketing and advertising field.Organized, meticulous, results and details oriented and can handle stress and tight deadlines.Ability to multi-task and prioritize tasks in a fast-moving environment.Possess great communication skills, creative, Unconventional, resourceful and a team player.Excellent written and verbal English.Well- versed.Preferably living In Sheikh Zayed or surroundings.Own a car or a biker.

 ",https://www.linkedin.com/jobs/view/2981093001/?eBP=CwEAAAF_sYhKrIQlUOpCwmrSdIZn25tBeU6by_5Lq_K4GLrca_sBAeDc4zJCDlhGtGIi9uqBPghxDgh4ZITU3n-bvGgTJoa3k-GscIWhupvZfF_1t_9wFLQ5kmB7VrKN3tX49q_YL_brYXyB2betRGhpuYw0CiJ2LBQXskAgdy07Q_kpd_utzrwNGTb9bhpHeIOrIQcexsJ9J2mbJrvwm8JIETfuSZkX2vXEUeFGU7OJYmFYM12Shw4-tHvQkglt3XUFl4lnXrk33pu23Uldx5AAPASMJAVbHHyv4DusZ1gcXS2nU-lu1bgjsB64PupvXabO9HOswnrK8pPq--KlxAXDe-zWJAY8mEcGdf_QMlBItWknIMHZGMDgM4o9qFnSXHYyeqg1D4CM-FNQVI3FfqSPYhZz7A&recommendedFlavor=SCHOOL_RECRUIT&refId=6J7%2Fk6nb%2FApSsui2Ll4%2Fkg%3D%3D&trackingId=QL1rSy%2FMsmAjA78EKg0KMA%3D%3D&trk=flagship3_search_srp_jobs
Internet Analyst Remote Opportunity | for Arabic Speakers in Egypt,Appen,"Kafr El Sheikh, Kafr ash Shaykh, Egypt",Remote,2022-03-01,88 applicants,Part-time,IT Services and IT Consulting,Associate,"
About Appen Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally.We are seeking individuals who are looking for an exciting work-from-home opportunity. Our mission is to deliver the best data solutions and expertise to developers of AI for communication, driven by our passion for innovation and our love of languages.  We are still massively hiring and looking for more people to apply to our great opportunities, you can also invite your friends, as many as you like so they can also experience the opportunity to earn extra income while being at home!Here are some examples of the opportunities available:💻 Search Engine Evaluation (Help us improve search results) 📱 Social Media Evaluation (Help improve social media around the globe) 📝 Translation 🎧 Transcription  💻 Survey and Data Collection Data Collection Projects (e.g., voice recording, image collection, etc.) 💻📝 Linguistic Specialties Linguistic Specialties (Text to Speech, Computational, Phonetics, Pronunciation, Annotation, etc.)Qualifications:· No work experience or college degree is required.· Fluency in English and your locale language skill· Linguistics Degree may be required for our linguistic projects BUT not required for other projects.Perks: Flexible working hours Work from home You can apply/work while you are working full time or studying! Apply many projects as many as you can!  📌How do I apply? Simply click the APPLY button and complete a short registration  https://connect.appen.com/qrp/public/jobs?sref=450ec88c630327889d0797bc1206fa9cChoose (Arabic) (Egypt) as your primary language. Or make sure to add all your native languages. when creating your profile in the system to show more available projects in your country. Once you completed the registration, you will be screened for eligibility.  Please watch this video on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156  How do I create a profile in Appen Connect-VIDEO 📌How do I get started? *Once you complete the registration process, you will be able to receive feedback via email or direct through the Appen Connect platform. If you are also interested in applying for other projects, make sure that you complete your profile so you can unlock more projects for your account! “A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.”  Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2928351183/?eBP=CwEAAAF_sYhKrIJCyFB7_4tjVLcljNqoGhF1FASYOsO7uy3qv1wXs7v-y-8-QXls6V9w58d5vV5x3BfCTBGsUb5BMEpb1gSnAq-1Pt12mgC7nbOXUQG1UVv_0KQmo3HEM9w8AQfwRRp2DoRR_CksiGtELwCShtOYZXNVNyMulTjtZUMmOaIMO1eLqKvfNtCIkPdcTpc77WU51-fMQ4S55uNxBdzttJFr6ouc0xNt989l8ithijOtEWcWLOpjqP455YI8qsI7yHqhYETb87oQi4aI_HkJ9BZfY_U0AsYpVcCKV0Ez5netoaTcitTkP-eP0l5zcgCv2hQPv8hxpNAlRPIrw1r3Uh9Azz_rGAv5MQ_M3rzg1XJHLs30DlkI-aUq1hQ&recommendedFlavor=SCHOOL_RECRUIT&refId=6J7%2Fk6nb%2FApSsui2Ll4%2Fkg%3D%3D&trackingId=0AQQKroebCEXj%2FAeZSH%2Fbg%3D%3D&trk=flagship3_search_srp_jobs
Dairy factory manager,بــ لبن - B.Laban,"Cairo, Egypt",On-site,2022-03-22,15 applicants,Full-time,Null,Null,"
شركه بلبن لمنتجات الالبان تطلب للتعيين علي وجه السرعه مدير مصنع البان خبره كبيره في نفس المجال ذكور من سكان القاهرة  B-Laban Company for dairy products Hiring Dairy factory manager Great experience as a dairy factory Manager from 5 years to 10 years Cairo resident To communicate with the company You can send CV to following email b.laban.hr2022@gmail.com WhatsApp NO : 01221124572
 ",https://www.linkedin.com/jobs/view/2984016697/?eBP=JOB_SEARCH_ORGANIC&refId=6J7%2Fk6nb%2FApSsui2Ll4%2Fkg%3D%3D&trackingId=QdEi%2F2KKofT8UFMdJaAG7g%3D%3D&trk=flagship3_search_srp_jobs
Care Analytics & Insights Lead,Careem,"Cairo, Cairo, Egypt",Null,2022-03-22,5 applicants,Full-time,IT Services and IT Consulting,Entry level,"
What You'll Do
Manage and provide visibility over core Operative KPIs.Deliver tailored and well-crafted decks to communicate complex analysis into layman’s terms.Conduct ad-hoc analysis to understand the business at a deeper level.Communicate clearly, and strategically your analysis to transform them into actionable insights.Act as the first point of contact to answer all business data queries.Develop effective reporting using various BI tools & participate in continuous improvement of reporting solutions.Drive and support your designated Category by converting complex data and findings into understandable information and visualizations.Present appropriate analysis and commentary to a technical and non-technical audience.Gain subject matter expertise and help define appropriate key metrics for the category and discover untapped areas for business improvement.Proactively develop new KPIs/metrics to identify trends, generate insights and add value to our partners.Define, create, improve, and automate reporting methods.
What You'll Need
People Lead Experience for 2 years or moreMinimum 5 Years of hands-on Experience in Data and Business Analytics (Tableau, SQL & Excel proficiency must, any other coding language like Python, R is huge plus)Stakeholder Management Experience - Experience of handling multiple Stakeholders, interacting with them on a consistent basis, understanding their priorities, requirements and providing them data-driven solutionsStrong Communication Skills, both verbal and written is required.Ability to understand the Business Requirements of different Lines of Businesses, de-constructing them and helping the reporting analysts provide data-driven solutions. 
Where you'll be
Even though we are working remotely, we are strong believers in collaboration and the power of building social connections with our teams. For that reason, our offices are still open and provide plenty of collaboration-friendly spaces at times when teams need it or if you need a quiet space to work outside of home. You’ll be working in the location you’re hired from. Due to legal and compensation considerations, you will need to be based out of the country you’re hired from as your primary work location.
 ",https://www.linkedin.com/jobs/view/2983221189/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=6J7%2Fk6nb%2FApSsui2Ll4%2Fkg%3D%3D&trackingId=KH%2FcRfE9zoNPiA1w1UZ9Kg%3D%3D&trk=flagship3_search_srp_jobs
"ETIC, Oracle Technical Consultant - Associate (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",On-site,2022-03-17,21 applicants,Full-time,Business Consulting and Services,Associate,"
Line of Service

Advisory

Industry/Sector

Technology

Specialism

Advisory - Other

Management Level

Associate

About The Role

Job Description & Summary

PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit Oracle Technical Consultants to join our team in Cairo. The successful candidate will have a minimum of 1 full lifecycle implementation projects working in a technical/architecture capacity. They will have implementation experience in at least 1 Oracle ERP and Cloud SaaS based Oracle applications. Candidates may also be recent University Graduates in a relevant discipline such as Computer Science or Cloud technologies, with an interest and aptitude for Architecture and understanding detailed technical concepts such as Integration and Data Migration.

You will be part of a team that reports to the Service Delivery Director and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.

As an Oracle Technical Consultant, you will play a key role in the following areas:
Supporting the developing the Technical Solution Design for the technical solution underpinning the functional configuration, including integration and data migrationSupporting the development of the Technical Integration Strategy for the products being deployed and any upstream or downstream systemsSupporting the development of the Data Migration strategy for all data being loaded into or provisioned from the Oracle productsSupporting the development of the Detailed Technical design, including SaaS tenants, integration and data migration tools, connectivity, security and IDAM.
Role Requirements
Experience in working with enterprise/ERP class systems ORUniversity Graduate with relevant qualifications in related fields such as Computer Science or Cloud ComputingOpen minded seeking for innovative solutionsSelf-Starter Attitude
Essential Skills & Attributes
Understanding of Integration technologies such as Oracle Integration Cloud (OIC)Experience of or understanding in using enterprise data migration and ETL tools such as Informatica and MulesoftUnderstanding of technical infrastructure concepts and technology such as networking, storage, data replication etc.Ability to work independently, and as part of a teamCommitment to personal development in relevant skillsStrong troubleshooting and problem solving skillsStrong written, oral and presentation skillsRelationship building skills
Education
University Degree
Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Optional Skills

Required Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

Yes

Government Clearance Required?

No

Job Posting End Date
 ",https://www.linkedin.com/jobs/view/2974162691/?eBP=CwEAAAF_sYhKrOFYSs2VHEqjff7TZEznZTsO3HJgsW91C8GDF0g007azi-j2lUY9CcH1cb5Q9P3gQIhNCCKw7_uxQj8EDIrA_S2PcUKaLkRuKrMCrLrGAYa28DIPakMapzSCsGbDyNbYqnXfBv6OUhhwHUBCCUPxb0yQpuluNpIFw1QhMP9_L5WkoFTYQaO3hhG852h0cIuZOjdfaVYsbZK7AjVq3MjuXC7phOR_n6LHDcpkFFkcOH10f6d7wsqpc_vuMJ3HETEvBLX9LUuHl0VmVL_jOd2wkDQgDO5swVUwtjnTS5VQDiVKGe4knHO_75cuDCo4OoIFbOeN_JsYePz0pYNiXU8g8Qaa4XPxuPQDmvOXTsnS0wQ5olJ3FDmV_LE&recommendedFlavor=SCHOOL_RECRUIT&refId=6J7%2Fk6nb%2FApSsui2Ll4%2Fkg%3D%3D&trackingId=YfnBzWx9tro81TJy0EYzvg%3D%3D&trk=flagship3_search_srp_jobs
Customer Service/Technical Support-Turkish,Concentrix,"Cairo, Cairo, Egypt",Null,2022-03-15,165 applicants,Full-time,IT Services and IT Consulting,Entry level,"
Essential Functions/Core Responsibilities
 Ensure service delivered to our customers meets contractual Key Performance Indicator (‘KPIs’) Clarify customer requirements; probe for understanding, use decision-support tools and resources to appropriately provide resolution to the customer Listen attentively to customer needs and concerns; demonstrate empathy while maximizing opportunity to build rapport with the customer Greet customers in a courteous, friendly, and professional manner using agreed upon procedures Maintain basic knowledge of client products and/or services Prepare complete and accurate work including appropriately notating accounts as required Participate in activities designed to improve customer satisfaction and business performance Offer additional products and/or services Track, document and retrieve information in call tracking database Respond to customer inquiries by referring them to published materials, secondary sources or more senior staff
Candidate Profile
 High school diploma with three to six months of relevant experience preferred Courteous with strong customer service orientation Strong computer navigation skills and PC Knowledge Ability to effectively communicate, both written and verbally Dependable with strong attention to detail Skilled in multi-tasking; including the ability to be flexible and adapt to changes quickly Tolerance for repetitive work in a fast-paced, high production work environment Ability to work as a team member, as well as independently Demonstrate patience in all customer contact situations; including maintaining a pleasant and professional tone and manner Ability to rotate shifts, as needed Based on location and/or program, additional experience/skills may be requiredJob requirements may vary by country and will not contravene any local laws
Career Framework Role

Has program required basic skill set to perform routine tasks within simple processes but lacking program/product specific knowledge. Works with close supervision and clearly defined procedures. Starting to demonstrate familiarity with client terminology, operating standards and procedures. Starter without sustained metric performance levels.

Disclaimer 

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel working within this job title.

Concentrix is an equal opportunity employer. Concentrix evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability status or any other legally protected characteristic.
 ",https://www.linkedin.com/jobs/view/2867513321/?eBP=CwEAAAF_sYhKrKRle_2bGRU3fbroILea81qxrUBOzhIQVK7COPcnV4BkUuZ9E-6gN3ACFJmJoUixNq5mxixLsM7a0KE3SQaMc-J-kTdBGFdw5KA7Bx0JYzWOHKlAXn47Dc9UfjMQnXkeIswVZJBoPGgWGz7CCIzmuAINS_Es4ebGLBQu02IqxEmcU3L0MN4qaWDJCpUBTJJjG3tumJDsSt3BVHUDMbMbXQjQxtGGoGyV2kDiDgwWgFhg6XcdbwWumfAo4QqlChOFzntZu_ZmMIO9oGhHyG8OPfQXq10NIlSxtTgj2vSaI7498MUu85GEerl-42Mn2jzIdcDxoMb0k6pZztxJHKoiNkGlJoz6exU2W8ykTrMM2gZLjh3DyMgzphg&recommendedFlavor=SCHOOL_RECRUIT&refId=6J7%2Fk6nb%2FApSsui2Ll4%2Fkg%3D%3D&trackingId=hfs3s%2FgWbkG916jYwuCSSA%3D%3D&trk=flagship3_search_srp_jobs
Technical Recruiter,Climax International Recruitment,"Cairo, Egypt",On-site,2022-03-20,92 applicants,Full-time,Null,Null,"

Climax is hiring for a global software house in Cairo which is looking for a technical recruiter to be responsible for the sourcing, screening, and hiring of technical specialists to fill IT positions. The technical recruiter's responsibilities include all aspects of hiring, from meeting with hiring managers to write job descriptions to offering job positions to the most suitable candidates. You should be focused, hard-working, and able to meet deadlines to the satisfaction of all parties involved.
Technical Recruiter Responsibilities:Communicating with hiring managers to identify future job openings and the technical requirements for those jobs.Writing job descriptions and posting to relevant media platforms.Screening applicants for competency with the job requirements.Arranging telephone, video, or in-person interviews.Performing background and reference checks.Presenting the resumes of the most suitable candidates to the hiring manager.Offering job positions and completing the relevant paperwork.Keeping track of all applicants as well as keeping applicants informed on the application process.Forecasting recruitment budgets.Technical Recruiter Requirements:A bachelor's degree.A good understanding of technology and technical skills.Experience in recruitment processes and platforms NOT LESS THAN ONE YEAR.
 ",https://www.linkedin.com/jobs/view/2975447183/?eBP=CwEAAAF_sYha5hYB4sgU-Ke_E8RMEsaPeb8s8BACuWpyvl7e64Hzn3WsNlwxwbc8SWPT_F45Hq8bVKmZtx3KQUxME7BiPV4SDNXNY45yXd6nB2B3wkRIF6emJFzlWoxKE6zYA_206xagzkQf8KItoWFS1GMJvQxbzoMDuENwoP5a2y7-ZRzY6wxvVYEttTc16-3iWGGxJf0XGRCL78ySMRJA_9Zf-qZJUn_ZO9Q-d9yoIr42Ust8fl9gjnIKQzrDSxOVY4gdOeZwe7ruRfvK49M0L0i91-AHPFTMZIBQg55koHNREyykm3R41ArS8lSZWDPO7uVUT0gbjYMckWgdl_AHXu2-N0XlN1W6HNtojD0VTfQQbnJJvw8NI5tqPABUrAJ2W6SzMMsf4Sf66R0NboB79PAr&recommendedFlavor=SCHOOL_RECRUIT&refId=zDIr6JweBLnLKCnuzIqcWQ%3D%3D&trackingId=RC2oykoaKVO%2BS0CbxaqOUg%3D%3D&trk=flagship3_search_srp_jobs
Operations Intern,Souq.com,"Cairo, Cairo, Egypt",Null,2022-03-08,Over 200 applicants,Full-time,Internet Publishing,Null,"
Job Summary

DESCRIPTION

Job Title: Operations and Logistics Intern

Amazon is looking for ambitious, curious and versatile candidates to join our unique world as interns. An Amazon EU internship will provide you with an unforgettable experience in a fast-paced, dynamic and international environment; it will boost your resume and will provide a superb introduction to our activities.

As An Intern You Might Join One Of The Following Teams

These internships are educational opportunities intended to allow future managers to discover how we lead and develop our teams of Associates. Operations and Logistics Interns will learn how our managers effectively engage their teams to realize their full potential, ensure their performance in order to fulfil our customers’ expectations, and encourage a safe and productive environment within our large and complex Fulfillment Centers, Sortation Centers and Delivery Stations.
 Inbound – Managing truck reception and unloading, registering products in our systems, and stowing of inventory Outbound – Managing picking, sortation and packing processes, and shipping customer orders ACES (Amazon Customer Excellence Services) – Benchmarking, implementing best practices and working on continuous improvement projects for various sites ICQA (Inventory Control and Quality Assurance) – Ensuring inventory records are accurate and defects kept to a minimum
This Will Include

You will put your analytical skills to the test and roll up your sleeves to complete actions that will contribute to improve the functionality and level of service that Fulfillment Centers, Sortation Centers and Delivery Stations provide to our customers.
 Diving deep into data, mapping processes and problems Offering and testing potential solutions and implementing the best one(s) Interacting with highly efficient managers, technology development teams, and front line Associates to think broadly about solutions to the most complex business and operational challenges faced by one of the world’s fastest growing operations network

Basic Qualifications

BASIC QUALIFICATIONS

We want to hire the world’s brightest minds, and offer them an environment in which they can relentlessly improve the experience for our customers.
 You are currently working towards a 2+ year university degree in Logistics, Supply Chain, Production, Engineering, Business Management, or similar discipline You must have the right to work in the country of employment by the start date Excellent written and verbal communication skills in English and the local language You are willing to work to flexible schedules/shifts hours You are results-driven with analytical skills and the desire to innovate and simplify current process and practices You should have strong decision-making skills, and use sound logic to communicate Evidence of leadership skills – perhaps you are president of a sporting or social club at university or took the lead in a group project You are able to demonstrate curiosity and pro-activity, which will allow you to gain greater autonomy in the course of the internship and make the most of your time with us to fully achieve your learning and development goals

Preferred Qualifications

PREFERRED QUALIFICATIONS
 Ability to work successfully in an ambiguous environment, to meet tight deadlines and prioritize workload even when faced with conflicting priorities. Previous work experience – a summer job, internship; if it’s an experience in a related field or business, even better
Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decision based on your experience and skills. We value your passion to discover, invent, simplify and build. We welcome applications from all members of society irrespective of age, sex, disability, sexual orientation, race, religion or belief.

By submitting your resume and application information, you authorize Amazon to transmit and store your information in the Amazon group of companies' worldwide recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.

#EUInternHiring


Company - Souq.com for E-Commerce LLC

Job ID: A1938728
 ",https://www.linkedin.com/jobs/view/2942908373/?eBP=CwEAAAF_sYha5rWENuJH6VeUrOdOrGRU3AbzZ8HmOA_YlmgbeOCU0UmY89yM-mhXrSxeQJ6ys1jZcBnYBlRkcvt_SspLR9bnTD5OE6d1DsnYV6NNkqQmB_vxu_xuk-0tNHrJSi5kNFCLEELBoQjS9Zqj6MZ9-ZwIoHTB0JU7xhkaDSawzXZHmo5MnJjRjQ2pwJQ2aX0sPUt4_0YK1IqaBkg8LsoXIgExiw2mEFlBlbxbrYKLpYgxIRAGszO20zYbEMVKYXhM7vxHVhr-mqw2XnGU4KHGQwpcrC3zAmaxiZZfvSW9WK8hmIuxCnUqnlXWbFiyQ0mVodPkWCfVSEWqvkXgB3RR3AmtlleV5u3iSxkpkNvMRr_F3_XvNvWvxlNJ&recommendedFlavor=SCHOOL_RECRUIT&refId=zDIr6JweBLnLKCnuzIqcWQ%3D%3D&trackingId=gqutHOSIev7znFqBLOUg7g%3D%3D&trk=flagship3_search_srp_jobs
Senior Customer Experience Specialist,ExpandCart,"Giza, Al Jizah, Egypt",Hybrid,2022-03-20,42 applicants,Full-time,Null,Null,"
Job DescriptionHe/She should conduct research and analysis to identify the strengths and weaknesses of operations, find areas needing enhancement, develop and execute improvement projects.Moreover, as a manager, it is essential to lead and encourage the workforce to reach goals while implementing its policies and regulations.Our perfect operational excellence manager has proven experience leading a team with the main focus on process design, implementation, and continuous improvementLead the transformation of the Shared Service Center from the focus on conventional-issue detection and containment to focused on preemptive prevention.Working closely with the business unit managers defining improvement plans and objectives that align with the corporate strategy.He/she will be a thought partner in the design and the execution of voice of customer programs and strategies at ExpandCart.He/she will need to demonstrate expertise to determine how and where ExpandCart listens to customers. Additionally, He/she will derive insights from what customers say and use the insights to influence and inform strategies across the business, and help in creating a holistic view of the customer experience throughout the purchase journey.Collect and analyze structured and unstructured data throughout the customer journey to proactively identify opportunities and inform strategy and functional operational effectivenessTriangulate and summarize information across a variety of data sources to obtain customer insights.QualificationsBachelor’s degree or equivalent experience is required.SaaS background is a must.Expertise in critical problem management in a distributed computing environment.Experience with Operational Excellence, Kaizen, Six Sigma, and other continuous improvement methods and strategies is a must.Minimum 3-5 years of industry, database, or related analytic experience is required.Minimum 3-5 years in Software, Network Operations, Digital Operation, or Media Operations facility experience is preferred.Prior experience using advanced features of JIRA, Service Now, or ticketing systems is strongly preferred.Exceptional communication and coordination skills as well as a strong ability to influence.

 ",https://www.linkedin.com/jobs/view/2971838008/?eBP=CwEAAAF_sYha5u9ckVexjNOnNBArHasa9_f9FqwICZ4yXG4s7pCAa3PWSwOawDBERHpWk0cVZ5S--qDP-DOrRJvWiVpHntSZZs3Ws1u1gd_pkj8-fGv5AGYZMFcxpI6jE8tVTEwiwKw0VqeiwvF09xU4H4Lw4oUh9kHF4SvZq1KowcD4jvURAwDGIXeEWVPLUUpGlyqTLd4qq1BQaWT30CtEhL1EkAlpQAodqljkXZV_gp7HzxEgo-NYu1ZocvxPEA6mNZ4c1f69sgBFkIPwD9FRj1BpDR0AD14UD-WTRZ_S0T1FjIee1Mlc0hATfwMuB-7iRQ2F89xrVJ66_DVb9LJ1vBGqn38R-WmC9cc2MV2A8m2o6YZ276OHwMAvDgyHbWC1-Vjdh9TDTnKu9EgOx-nZ_TE&recommendedFlavor=SCHOOL_RECRUIT&refId=zDIr6JweBLnLKCnuzIqcWQ%3D%3D&trackingId=56lTOwtJp%2BQi4Puldv1nXw%3D%3D&trk=flagship3_search_srp_jobs
Internet Analyst Remote Opportunity | for English Speakers in Egypt,Appen,"Kafr El Sheikh, Kafr ash Shaykh, Egypt",Remote,2022-03-01,83 applicants,Part-time,IT Services and IT Consulting,Associate,"
About Appen Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally.We are seeking individuals who are looking for an exciting work-from-home opportunity. Our mission is to deliver the best data solutions and expertise to developers of AI for communication, driven by our passion for innovation and our love of languages.  We are still massively hiring and looking for more people to apply to our great opportunities, you can also invite your friends, as many as you like so they can also experience the opportunity to earn extra income while being at home!Here are some examples of the opportunities available:💻 Search Engine Evaluation (Help us improve search results) 📱 Social Media Evaluation (Help improve social media around the globe) 📝 Translation 🎧 Transcription  💻 Survey and Data Collection Data Collection Projects (e.g., voice recording, image collection, etc.) 💻📝 Linguistic Specialties Linguistic Specialties (Text to Speech, Computational, Phonetics, Pronunciation, Annotation, etc.)Qualifications:· No work experience or college degree is required.· Fluency in English and your locale language skill· Linguistics Degree may be required for our linguistic projects BUT not required for other projects.Perks: Flexible working hours Work from home You can apply/work while you are working full time or studying! Apply many projects as many as you can!  📌How do I apply? Simply click the APPLY button and complete a short registration  https://connect.appen.com/qrp/public/jobs?sref=450ec88c630327889d0797bc1206fa9cChoose (English) (Egypt) as your primary language. Or make sure to add all your native languages. when creating your profile in the system to show more available projects in your country. Once you completed the registration, you will be screened for eligibility.  Please watch this video on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156  How do I create a profile in Appen Connect-VIDEO 📌How do I get started? *Once you complete the registration process, you will be able to receive feedback via email or direct through the Appen Connect platform. If you are also interested in applying for other projects, make sure that you complete your profile so you can unlock more projects for your account! “A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.”  Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2928350143/?eBP=CwEAAAF_sYha5soYVfrGzFkN480E3JoA4TxsejYotzzOAz52fizPKEN9uNdoqRcjVSFMDy0lLfxf-FJGbNPNGCIcqZxbIskFds5LMgD7QIOgdtzUTH4wwFK-ubXoBoNTUT3ge4ynsuYOmT1xQU5TriAEsiPP_h8IwW8KNgh1YBUuLoj65IZiwrCDGT0imtF43cXZE8Tlz_eXieBuQoCqDyuq7sFmMTfpyRNjoRo7mU97g_h0QSZoXj91SDPDDU6i5r0yAFWmiCWiyFd1hAziP2J71NZIaRGfnGyDhv8htdsHi6yF8E-XEfWpTFPZwBwvMkgpw458S3hxQGTd6muxweCcrVlvLTcXC8ceH9ZMzhlsrHQwqypV3h7OwVrv3vMj&recommendedFlavor=SCHOOL_RECRUIT&refId=zDIr6JweBLnLKCnuzIqcWQ%3D%3D&trackingId=78Up0%2Bp770rGrOJQpePfRQ%3D%3D&trk=flagship3_search_srp_jobs
Social Media Evaluation for English speakers in Egypt,Appen,"Giza, Al Jizah, Egypt",Remote,2022-02-22,108 applicants,Part-time,IT Services and IT Consulting,Associate,"
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience. Join us now!  Requirements: · Should have some disposable income to make purchases upfront. · Should be able to complete purchases with a short 1-week timeline. · Attention to detail and strong reading comprehension is a must.  What’s in it for you?  · Mystery Shoppers keep their purchases. · Mystery Shoppers are reimbursed for their purchases. Please follow the steps below on how to apply for the project:  1. Visit the Appen website using the link below:   https://connect.appen.com/qrp/public/jobs?sref=b18803290787711a91a7005e54c26f452. Choose English () as your primary language.  3. Complete the Registration page and click the Submit Application button to create your account  4. Once your account has been created, click the 'All Projects' Tab and look for this project.  5. Choose the ""Apply"" button to start your qualification to the project.   If you are already registered to Appen Connect, please log in to your account, click the “All Projects” tab and look for this project.   Here’s a guide on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156-How-do-I-create-a-profile-in-Appen-Connect-VIDEO Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! • Work from home with flexible hours • You can work on our projects around your other jobs  A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.   Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2923814371/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zDIr6JweBLnLKCnuzIqcWQ%3D%3D&trackingId=Fi7uNLl3aUlL3jhSD58pcQ%3D%3D&trk=flagship3_search_srp_jobs
